Batch_ID,Time_ms,Samples_per_Batch
1,15.7692,100
2,0.533917,100
3,0.368333,100
4,0.357208,100
5,0.38425,100
6,0.364291,100
7,0.310375,100
8,0.317958,100
9,0.327833,100
10,0.372417,100
11,0.337917,100
12,0.318166,100
13,0.369084,100
14,0.381625,100
15,0.498125,100
16,0.407833,100
17,0.429875,100
18,0.384333,100
19,0.358833,100
20,0.33575,100
21,0.357458,100
22,0.33075,100
23,0.331833,100
24,0.341292,100
25,0.305417,100
26,0.308917,100
27,0.297459,100
28,0.321167,100
29,0.311208,100
30,0.32925,100
31,0.780167,100
32,0.445417,100
33,0.849625,100
34,0.6005,100
35,0.322917,100
36,0.35025,100
37,0.385125,100
38,0.403,100
39,0.394167,100
40,0.365125,100
41,0.441042,100
42,0.3775,100
43,0.344833,100
44,0.369958,100
45,0.392584,100
46,0.31025,100
47,0.390584,100
48,0.338167,100
49,0.452041,100
50,0.332042,100
51,0.302292,100
52,0.365584,100
53,0.368,100
54,0.397875,100
55,0.440458,100
56,0.405125,100
57,0.326708,100
58,0.385208,100
59,0.437375,100
60,0.404084,100
61,0.381834,100
62,0.439541,100
63,0.372125,100
64,0.395709,100
65,0.514,100
66,0.498875,100
67,0.70075,100
68,0.680458,100
69,0.847708,100
70,0.581459,100
71,0.406083,100
72,0.499958,100
73,0.413417,100
74,0.404167,100
75,0.460541,100
76,0.375875,100
77,0.447458,100
78,0.392208,100
79,0.4315,100
80,0.388417,100
81,0.469375,100
82,0.367375,100
83,0.3575,100
84,0.350875,100
85,0.415625,100
86,0.471958,100
87,0.413041,100
88,0.439209,100
89,0.437208,100
90,0.456667,100
91,0.4195,100
92,0.478708,100
93,0.39025,100
94,0.450042,100
95,0.439292,100
96,0.406459,100
97,0.414708,100
98,0.437083,100
99,0.518333,100
100,0.557833,100
Total,56.9632,10000
Average,0.569632,100
