epoch,train_acc,val_acc
1,0.097000,0.085000
2,0.097000,0.085000
3,0.097000,0.085000
4,0.097000,0.085000
5,0.097000,0.085000
6,0.097000,0.085000
7,0.097000,0.085000
8,0.097000,0.085000
9,0.097000,0.085000
10,0.097000,0.085000
11,0.097000,0.085000
12,0.097000,0.085000
13,0.097000,0.085000
14,0.097000,0.085000
15,0.097000,0.085000
16,0.097000,0.085000
17,0.097000,0.085000
18,0.097000,0.085000
19,0.097000,0.085000
20,0.097000,0.085000
21,0.097000,0.085000
22,0.097000,0.085000
23,0.097000,0.085000
24,0.097000,0.085000
25,0.097000,0.085000
26,0.097000,0.085000
27,0.097000,0.085000
28,0.097000,0.085000
29,0.097000,0.085000
30,0.097000,0.085000
31,0.097000,0.085000
32,0.097000,0.085000
33,0.097000,0.085000
34,0.097000,0.085000
35,0.097000,0.085000
36,0.097000,0.085000
37,0.097000,0.085000
38,0.097000,0.085000
39,0.097000,0.085000
40,0.097000,0.085000
41,0.097000,0.085000
42,0.097000,0.085000
43,0.097000,0.085000
44,0.097000,0.085000
45,0.097000,0.085000
46,0.097000,0.085000
47,0.097000,0.085000
48,0.097000,0.085000
49,0.097000,0.085000
50,0.097000,0.085000
51,0.097000,0.085000
52,0.097000,0.085000
53,0.097000,0.085000
54,0.097000,0.085000
55,0.097000,0.085000
56,0.097000,0.085000
57,0.097000,0.085000
58,0.097000,0.085000
59,0.097000,0.085000
60,0.097000,0.085000
61,0.097000,0.085000
62,0.097000,0.085000
63,0.097000,0.085000
64,0.097000,0.085000
65,0.097000,0.085000
66,0.097000,0.085000
67,0.097000,0.085000
68,0.097000,0.085000
69,0.097000,0.085000
70,0.097000,0.085000
71,0.097000,0.085000
72,0.097000,0.085000
73,0.097000,0.085000
74,0.097000,0.085000
75,0.097000,0.085000
76,0.097000,0.085000
77,0.097000,0.085000
78,0.097000,0.085000
79,0.097000,0.085000
80,0.097000,0.085000
81,0.097000,0.085000
82,0.097000,0.085000
83,0.097000,0.085000
84,0.097000,0.085000
85,0.097000,0.085000
86,0.097000,0.085000
87,0.097000,0.085000
88,0.097000,0.085000
89,0.097000,0.085000
90,0.097000,0.085000
91,0.097000,0.085000
92,0.097000,0.085000
93,0.097000,0.085000
94,0.097000,0.085000
95,0.097000,0.085000
96,0.097000,0.085000
97,0.097000,0.085000
98,0.097000,0.085000
99,0.097000,0.085000
100,0.097000,0.085000
