step,time_s
data_load,0.1381648329552263
preprocess,0.07442604104289785
model_build_compile,0.07438825001008809
epoch_1,3.3655090000247583
epoch_2,2.1505150420125574
epoch_3,2.1684454159694724
epoch_4,2.3855711669893935
epoch_5,2.193985791003797
epoch_6,2.271702166995965
epoch_7,2.408074332983233
epoch_8,2.3063834590138867
epoch_9,2.4498832909739576
epoch_10,2.5197014999575913
epoch_11,2.231693666020874
epoch_12,2.166221499966923
epoch_13,2.1365724590141326
epoch_14,2.1017888329806738
epoch_15,2.1156060840003192
epoch_16,2.0738512499956414
epoch_17,3.062466958013829
epoch_18,2.4317935830331407
epoch_19,2.830727916036267
epoch_20,2.4667391249677166
epoch_21,2.759185000031721
epoch_22,2.9792635000194423
epoch_23,2.713131666998379
epoch_24,2.6209944170550443
epoch_25,2.8428601669729687
epoch_26,2.9709783750004135
epoch_27,2.909046624961775
epoch_28,3.1546550409984775
epoch_29,3.0448011250118725
epoch_30,2.7776522919884883
epoch_31,3.132170833996497
epoch_32,2.9812941669952124
epoch_33,3.1408107500174083
epoch_34,3.01137366698822
epoch_35,3.5638750420184806
epoch_36,3.6607880420051515
epoch_37,3.3924182080081664
epoch_38,3.6133743750397116
epoch_39,3.357405250018928
epoch_40,2.814279957965482
epoch_41,3.1518768750247546
epoch_42,2.985972916998435
epoch_43,2.738044166995678
epoch_44,3.4304893749649636
epoch_45,2.9332674590405077
epoch_46,2.762884875002783
epoch_47,3.0665623329696245
epoch_48,2.8097886669565924
epoch_49,3.856738291971851
epoch_50,3.7666930410196073
epoch_51,3.9881120839854702
epoch_52,3.6128691660123877
epoch_53,6.310432375001255
epoch_54,3.5715191250201315
epoch_55,3.558993541984819
epoch_56,3.690095166035462
epoch_57,2.964084916980937
epoch_58,3.0515591659932397
epoch_59,3.2725207090261392
epoch_60,3.239702375023626
epoch_61,4.109118749969639
epoch_62,4.001260459015612
epoch_63,3.513335834024474
epoch_64,3.354661874996964
epoch_65,3.594561541976873
epoch_66,4.39825666701654
epoch_67,3.6694784170249477
epoch_68,3.18007599998964
epoch_69,3.619944875012152
epoch_70,3.723347791994456
epoch_71,3.5635559579823166
epoch_72,4.090821333986241
epoch_73,4.12268737499835
epoch_74,4.795231124968268
epoch_75,5.142984875012189
epoch_76,3.7542295409948565
epoch_77,5.279220374999568
epoch_78,4.354082749981899
epoch_79,3.9164158750209026
epoch_80,5.479602417035494
epoch_81,3.2844815000426024
epoch_82,3.348813707998488
epoch_83,3.3319196249940433
epoch_84,3.441393708984833
epoch_85,4.179997249972075
epoch_86,4.313004916999489
epoch_87,3.748634874995332
epoch_88,4.082035500032362
epoch_89,3.5186487500322983
epoch_90,3.777259042020887
epoch_91,3.468747750041075
epoch_92,3.343773207976483
epoch_93,3.8278476670384407
epoch_94,3.358070916030556
epoch_95,3.1590617089532316
epoch_96,3.0636207080096938
epoch_97,3.12374666595133
epoch_98,3.1805292909848504
epoch_99,3.8970913750235923
epoch_100,2.9911630420247093
evaluation,1.0116625410155393
export_last,0.2956399579998106
export_best,0.10184024996124208
python_inference_128,0.062403916963376105
